# wavelength (nm);intensity
449.074707;12
449.4996033;3
449.9244995;12
450.3493347;13
450.7742615;12
451.1991272;9
451.6239319;15
452.0487976;17
452.4736633;9
452.898468;15
453.3233032;12
453.7481079;14
454.1729126;5
454.5976868;14
455.022522;12
455.4472656;16
455.8720703;8
456.296814;14
456.7215576;16
457.1463318;12
457.5710754;17
457.9957886;19
458.4205322;18
458.8452454;12
459.2699585;14
459.6947021;20
460.1193542;20
460.5440063;20
460.96875;16
461.3933716;19
461.8180237;17
462.2427063;16
462.6673279;17
463.09198;15
463.5166016;17
463.9411926;8
464.3658142;10
464.7904358;15
465.2149963;13
465.6395874;14
466.0641479;14
466.4887085;7
466.9132996;15
467.3378296;16
467.7623596;11
468.1868896;20
468.6114502;14
469.0359192;20
469.4604187;17
469.8849487;11
470.3093872;16
470.7338867;14
471.1583557;17
471.5827942;20
472.0072632;20
472.4317322;18
472.8561096;16
473.2805481;18
473.7049561;18
474.129364;31
474.553772;32
474.9781494;34
475.4024963;27
475.8269348;23
476.2512512;19
476.6755981;31
477.0999451;31
477.524292;32
477.9486084;33
478.3729553;36
478.7972107;38
479.2215271;31
479.6457825;40
480.0700684;41
480.4943542;34
480.9186096;44
481.342804;55
481.7670593;66
482.1913147;81
482.615509;114
483.0397034;111
483.4639282;147
483.888092;160
484.3122864;213
484.7364807;248
485.1605835;297
485.5847778;341
486.0089111;409
486.4330139;496
486.8571472;598
487.28125;745
487.7053528;909
488.1294861;1139
488.5535278;1479
488.9775696;1943
489.4017029;2541
489.8257141;3312
490.2497559;4225
490.6738281;5204
491.0978088;5979
491.5218506;6630
491.9458313;7212
492.369812;7833
492.7937927;8404
493.2177734;8648
493.6417236;8314
494.0656738;7821
494.4896545;7176
494.9135437;6597
495.3374634;6065
495.7613831;5640
496.1852722;5234
496.6091309;4880
497.0330505;4574
497.4568787;4221
497.8807678;3882
498.3046265;3583
498.7284546;3195
499.1522827;2866
499.5761108;2574
499.9998779;2303
500.4236755;2061
500.8474731;1849
501.2712097;1666
501.6949768;1532
502.1187439;1388
502.54245;1245
502.9662476;1131
503.3899231;1039
503.8136292;914
504.2373657;824
504.6610413;746
505.0846863;674
505.5083923;596
505.9320068;550
506.3556824;484
506.7793274;445
507.2029114;402
507.6265564;359
508.0501404;346
508.4737244;287
508.8973083;275
509.3208618;241
509.7443848;223
510.1679688;202
510.5914917;189
511.0150146;171
511.4385071;154
511.8620605;142
512.2855225;128
512.7089844;117
513.1324463;121
513.5559082;96
513.9793701;85
514.402771;89
514.8261719;70
515.2496338;69
515.6730347;68
516.0963745;62
516.5198364;57
516.9431152;63
517.3664551;50
517.789856;48
518.2131348;39
518.6364136;44
519.0597534;34
519.4830933;42
519.906311;42
520.3296509;38
520.7528687;35
521.1760864;31
521.5993652;31
522.022522;27
522.4458008;30
522.8689575;25
523.2921753;25
523.715332;29
524.1385498;27
524.5616455;22
524.9848022;27
525.4078979;22
525.8310547;25
526.2541504;31
526.6772461;29
527.1003418;21
527.5233765;31
527.9464111;21
528.3695068;26
528.7924805;30
529.2155762;34
529.6384888;33
530.0614624;43
530.4844971;34
530.9074707;40
531.3305054;43
531.753418;51
532.1763306;61
532.5993042;76
533.0221558;81
533.4450684;103
533.867981;126
534.2908325;156
534.7136841;187
535.1365356;208
535.5593872;244
535.9822388;281
536.4049683;326
536.8277588;377
537.2506104;431
537.6733398;475
538.0960693;549
538.5188599;602
538.9415894;706
539.3642578;797
539.7870483;906
540.2096558;1063
540.6323853;1254
541.0550537;1538
541.4777222;1938
541.9002686;2609
542.322998;3850
542.7456055;6063
543.1681519;9127
543.5908203;13016
544.0133667;18329
544.4358521;24712
544.8584595;30853
545.2810059;36066
545.7035522;39738
546.1260376;42597
546.5485229;44087
546.9710083;45081
547.3934937;40897
547.815979;36663
548.2384033;32645
548.6608887;28243
549.083252;23977
549.5056763;20257
549.9281006;17343
550.3504639;16020
550.7727661;16139
551.1951294;17067
551.6174927;17521
552.0397949;16974
552.4621582;15738
552.8843994;14394
553.3067017;12881
553.7289429;11227
554.1512451;9505
554.5734863;7993
554.9957275;6673
555.4179688;5642
555.8400879;4789
556.2623901;4127
556.6845093;3647
557.1066895;3218
557.5288086;2846
557.9510498;2564
558.3730469;2303
558.7952271;2046
559.2172852;1877
559.6393433;1689
560.0614624;1576
560.4835205;1431
560.9054565;1334
561.3275757;1254
561.7496338;1149
562.1715088;1074
562.5935059;1015
563.0155029;933
563.437439;858
563.859375;815
564.2813721;746
564.7032471;703
565.1251221;642
565.5470581;607
565.9689331;553
566.3907471;516
566.8126221;504
567.234436;435
567.656189;431
568.0780029;384
568.4997559;362
568.9215088;346
569.3433228;323
569.7650757;299
570.1867676;291
570.6084595;276
